,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,21.0,13.5,0.853,13.36,4.21,1309.0,0.12,0.0011391
1,0,20.8,13.1,0.835,,,,,0.0015416
2,0,20.7,12.9,0.823,,,,,0.001456
3,0,15.1,13.7,0.818,,,,,0.0011905
4,0,16.5,13.8,0.812,,,,,0.0011905
5,0,18.6,13.2,0.811,,,,,0.0013104
6,0,21.1,13.1,0.808,,,,,0.0013018
7,0,19.7,13.8,0.802,,,,,0.0010706
8,0,16.4,13.3,0.79,,,,,0.0010106
9,0,13.3,,0.784,,,,,
10,0,15.3,,0.781,,,,,
11,0,19.0,,0.779,,,,,
12,0,13.6,,0.774,,,,,
13,0,12.6,,0.768,,,,,
14,0,12.3,,0.763,,,,,
15,0,13.2,,0.763,,,,,
16,0,21.2,,0.756,,,,,
17,0,12.6,,0.746,,,,,
18,0,11.9,,0.741,,,,,
19,0,13.0,,0.74,,,,,
20,0,11.0,,0.739,,,,,
21,0,10.7,,0.736,,,,,
22,0,12.2,,0.731,,,,,
23,0,12.8,,0.729,,,,,
24,0,11.9,,0.728,,,,,
25,0,15.2,,0.723,,,,,
26,0,13.1,,0.715,,,,,
27,0,13.2,,0.709,,,,,
28,0,16.4,,0.708,,,,,
29,0,14.9,,0.706,,,,,
30,0,13.1,,0.706,,,,,
31,0,14.5,,0.704,,,,,
32,0,10.5,,0.703,,,,,
33,0,9.8,,0.699,,,,,
34,0,15.5,,0.694,,,,,
35,0,25.2,,0.691,,,,,
36,0,12.7,,0.691,,,,,
37,0,11.7,,0.686,,,,,
38,0,15.6,,0.683,,,,,
39,0,14.2,,0.682,,,,,
40,0,13.7,,0.678,,,,,
41,0,13.3,,0.675,,,,,
42,0,10.7,,0.675,,,,,
43,0,11.3,,0.674,,,,,
44,0,15.5,,0.673,,,,,
45,0,20.6,,0.667,,,,,
46,0,12.0,,0.66,,,,,
47,0,11.0,,0.66,,,,,
48,0,19.2,,0.657,,,,,
49,0,11.0,,0.653,,,,,
50,0,11.3,,0.651,,,,,
51,0,16.7,,0.649,,,,,
52,0,10.1,,0.648,,,,,
53,0,13.2,,0.644,,,,,
54,0,16.7,,0.644,,,,,
55,0,10.9,,0.643,,,,,
56,0,14.1,,0.642,,,,,
57,0,9.2,,0.636,,,,,
58,0,13.0,,0.627,,,,,
59,0,16.8,,0.625,,,,,
60,0,12.4,,0.612,,,,,
61,0,13.2,,0.609,,,,,
62,0,14.9,,0.609,,,,,
63,0,14.9,,0.607,,,,,
64,0,13.9,,0.605,,,,,
65,0,13.5,,0.603,,,,,
66,0,10.6,,0.592,,,,,
67,0,11.6,,0.589,,,,,
68,0,23.0,,0.589,,,,,
69,0,13.6,,0.587,,,,,
70,0,12.9,,0.585,,,,,
71,0,17.0,,0.581,,,,,
72,0,10.3,,0.57,,,,,
73,0,24.7,,0.567,,,,,
74,0,12.0,,0.563,,,,,
75,0,14.5,,0.562,,,,,
76,0,10.2,,0.548,,,,,
77,0,11.9,,0.539,,,,,
78,0,19.1,,0.529,,,,,
79,0,10.4,,0.528,,,,,
80,0,12.4,,0.518,,,,,
81,0,10.4,,0.509,,,,,
82,0,17.0,,0.505,,,,,
83,0,12.7,,0.503,,,,,
84,0,10.3,,0.495,,,,,
85,0,12.0,,0.492,,,,,
86,0,11.5,,0.485,,,,,
87,0,16.8,,0.474,,,,,
88,0,10.5,,0.47,,,,,
89,0,11.2,,0.468,,,,,
90,0,9.5,,0.467,,,,,
91,0,10.6,,0.461,,,,,
92,0,10.2,,0.447,,,,,
93,0,10.6,,0.442,,,,,
94,0,9.7,,0.435,,,,,
95,0,12.4,,0.424,,,,,
96,0,8.5,,0.414,,,,,
97,0,9.5,,0.414,,,,,
98,0,16.2,,0.413,,,,,
99,0,9.0,,0.411,,,,,
100,0,10.4,,0.409,,,,,
101,0,10.8,,0.406,,,,,
102,0,23.5,,0.405,,,,,
103,0,11.0,,0.402,,,,,
104,0,12.0,,0.399,,,,,
105,0,11.0,,0.399,,,,,
106,0,11.6,,0.396,,,,,
107,0,7.1,,0.394,,,,,
108,0,19.7,,0.392,,,,,
109,0,12.2,,0.392,,,,,
110,0,11.5,,0.391,,,,,
111,0,25.0,,0.384,,,,,
112,0,9.3,,0.376,,,,,
113,0,11.0,,0.375,,,,,
114,0,11.2,,0.374,,,,,
115,0,10.4,,0.368,,,,,
116,0,10.0,,0.367,,,,,
117,0,14.3,,0.362,,,,,
118,0,17.9,,0.357,,,,,
119,0,12.7,,0.354,,,,,
120,0,14.6,,0.344,,,,,
121,0,10.7,,0.34,,,,,
122,0,12.5,,0.335,,,,,
123,0,12.3,,0.33,,,,,
124,0,8.1,,0.329,,,,,
125,0,10.0,,0.329,,,,,
126,0,16.3,,0.324,,,,,
127,0,14.2,,0.32,,,,,
128,0,11.5,,0.312,,,,,
129,0,9.7,,0.31,,,,,
130,0,8.0,,0.308,,,,,
131,0,8.8,,0.308,,,,,
132,0,11.8,,0.306,,,,,
133,1,21.1,,0.829,,,,,
134,1,19.9,,0.828,,,,,
135,1,17.0,,0.825,,,,,
136,1,14.1,,0.822,,,,,
137,1,19.9,,0.807,,,,,
138,1,17.1,,0.805,,,,,
139,1,15.2,,0.803,,,,,
140,1,19.1,,0.801,,,,,
141,1,15.9,,0.795,,,,,
142,1,17.8,,0.793,,,,,
143,1,12.9,,0.789,,,,,
144,1,16.3,,0.789,,,,,
145,1,16.3,,0.787,,,,,
146,1,12.4,,0.782,,,,,
147,1,14.2,,0.778,,,,,
148,1,16.7,,0.772,,,,,
149,1,13.8,,0.771,,,,,
150,1,12.4,,0.766,,,,,
151,1,13.5,,0.765,,,,,
152,1,13.5,,0.764,,,,,
153,1,13.8,,0.756,,,,,
154,1,11.9,,0.75,,,,,
155,1,17.1,,0.748,,,,,
156,1,13.2,,0.742,,,,,
157,1,13.0,,0.742,,,,,
158,1,13.5,,0.74,,,,,
159,1,18.7,,0.738,,,,,
160,1,11.8,,0.737,,,,,
161,1,15.0,,0.73,,,,,
162,1,17.3,,0.728,,,,,
