,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,8.6,7.6,0.826,6.72,2.88,355.0,0.15,0.0007758
1,0,17.7,7.2,0.812,,,,,0.0010343
2,0,6.2,7.5,0.757,,,,,0.0010343
3,0,2.3,7.9,0.75,,,,,0.0011205
4,0,9.5,6.3,0.742,,,,,0.0016377
5,0,6.4,5.7,0.739,,,,,0.0012929
6,0,2.7,6.2,0.733,,,,,0.0014653
7,0,6.0,8.1,0.652,,,,,0.0009481
8,0,8.9,7.2,0.602,,,,,0.0016377
9,1,10.8,6.1,0.85,,,,,0.0010343
10,1,8.7,7.4,0.846,,,,,0.0015515
11,1,6.8,5.3,0.841,,,,,0.0013791
12,1,11.1,7.2,0.808,,,,,0.0012929
13,1,7.6,6.6,0.803,,,,,0.0017239
14,1,6.8,5.7,0.798,,,,,0.0010343
15,1,6.4,7.8,0.762,,,,,0.0007758
16,1,5.6,7.9,0.731,,,,,0.0006896
17,1,6.9,4.9,0.678,,,,,0.0006034
18,1,5.0,7.6,0.652,,,,,0.0010343
19,1,6.7,7.8,0.636,,,,,0.0006896
20,1,3.5,6.4,0.628,,,,,0.0006896
21,2,6.3,7.1,0.868,,,,,0.0012067
22,2,12.2,5.6,0.858,,,,,0.000862
23,2,9.6,5.9,0.852,,,,,0.0012929
24,2,7.6,6.0,0.849,,,,,0.0014653
25,2,5.7,7.4,0.807,,,,,0.0012067
26,2,4.8,6.1,0.791,,,,,0.0011205
27,2,5.4,,0.789,,,,,
28,2,11.4,,0.771,,,,,
29,2,5.4,,0.731,,,,,
30,2,8.9,,0.728,,,,,
31,2,6.7,,0.689,,,,,
32,2,6.2,,0.647,,,,,
33,3,12.6,,0.867,,,,,
34,3,6.3,,0.848,,,,,
35,3,8.7,,0.843,,,,,
36,3,6.3,,0.828,,,,,
37,3,14.5,,0.826,,,,,
38,3,9.1,,0.816,,,,,
39,3,11.6,,0.768,,,,,
40,3,6.5,,0.767,,,,,
41,3,4.0,,0.705,,,,,
42,3,6.5,,0.702,,,,,
43,3,4.2,,0.697,,,,,
44,3,8.9,,0.692,,,,,
45,3,3.6,,0.673,,,,,
46,4,12.8,,0.881,,,,,
47,4,10.6,,0.865,,,,,
48,4,5.0,,0.857,,,,,
49,4,8.9,,0.856,,,,,
50,4,5.4,,0.856,,,,,
51,4,5.1,,0.852,,,,,
52,4,7.4,,0.845,,,,,
53,4,5.0,,0.837,,,,,
54,4,2.4,,0.828,,,,,
55,4,3.7,,0.816,,,,,
56,4,4.2,,0.808,,,,,
57,4,4.5,,0.8,,,,,
58,4,4.6,,0.75,,,,,
59,4,7.8,,0.74,,,,,
60,4,5.9,,0.739,,,,,
61,4,6.1,,0.725,,,,,
62,4,7.8,,0.719,,,,,
63,4,5.5,,0.642,,,,,
64,4,6.3,,0.612,,,,,
65,5,6.4,,0.839,,,,,
66,5,4.2,,0.834,,,,,
67,5,4.2,,0.834,,,,,
68,5,7.5,,0.767,,,,,
69,5,6.7,,0.761,,,,,
70,5,15.1,,0.731,,,,,
71,5,5.7,,0.722,,,,,
72,5,4.6,,0.71,,,,,
73,5,3.0,,0.708,,,,,
74,5,3.9,,0.69,,,,,
75,5,3.6,,0.687,,,,,
76,5,6.1,,0.641,,,,,
77,5,6.0,,0.632,,,,,
78,5,3.7,,0.63,,,,,
79,5,5.0,,0.625,,,,,
80,6,4.5,,0.837,,,,,
81,6,4.8,,0.811,,,,,
82,6,6.7,,0.809,,,,,
83,6,7.3,,0.805,,,,,
84,6,6.6,,0.797,,,,,
85,6,9.4,,0.785,,,,,
86,6,10.7,,0.779,,,,,
87,6,4.4,,0.753,,,,,
88,6,10.2,,0.75,,,,,
89,6,6.2,,0.738,,,,,
90,6,5.3,,0.728,,,,,
91,6,3.2,,0.721,,,,,
92,6,6.0,,0.661,,,,,
93,6,4.4,,0.648,,,,,
94,6,3.4,,0.64,,,,,
95,6,7.4,,0.622,,,,,
96,6,5.0,,0.622,,,,,
97,7,5.6,,0.858,,,,,
98,7,9.9,,0.847,,,,,
99,7,6.4,,0.767,,,,,
100,7,7.3,,0.76,,,,,
101,7,10.2,,0.746,,,,,
102,7,7.8,,0.74,,,,,
103,7,9.8,,0.739,,,,,
104,7,4.5,,0.732,,,,,
105,7,7.3,,0.707,,,,,
106,7,14.2,,0.678,,,,,
107,7,6.0,,0.622,,,,,
108,8,8.5,,0.888,,,,,
109,8,5.2,,0.857,,,,,
110,8,10.1,,0.826,,,,,
111,8,13.0,,0.824,,,,,
112,8,6.9,,0.801,,,,,
113,8,6.5,,0.799,,,,,
114,8,6.6,,0.791,,,,,
115,8,9.2,,0.783,,,,,
116,8,8.5,,0.739,,,,,
117,8,8.4,,0.729,,,,,
118,8,4.9,,0.722,,,,,
119,8,3.2,,0.719,,,,,
120,8,6.0,,0.712,,,,,
121,8,4.8,,0.71,,,,,
122,8,5.3,,0.681,,,,,
123,8,7.3,,0.645,,,,,
124,8,8.3,,0.64,,,,,
125,8,6.0,,0.627,,,,,
126,8,8.1,,0.606,,,,,
127,9,6.6,,0.841,,,,,
