,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,13.2,8.1,0.873,7.55,3.18,612.0,0.13,0.0011205
1,0,8.4,8.0,0.872,,,,,0.0013791
2,0,6.2,6.6,0.845,,,,,0.0013791
3,0,8.0,8.1,0.841,,,,,0.0012929
4,0,7.3,6.4,0.837,,,,,0.0016377
5,0,12.6,8.0,0.828,,,,,0.0013791
6,0,10.0,6.3,0.823,,,,,0.0018101
7,0,6.4,7.8,0.82,,,,,0.0018101
8,0,4.6,7.7,0.813,,,,,0.0015515
9,0,4.7,7.0,0.799,,,,,0.0018101
10,0,9.3,7.5,0.788,,,,,0.0013791
11,0,8.2,8.8,0.778,,,,,0.0013791
12,0,6.6,7.7,0.769,,,,,0.0018963
13,1,13.6,8.9,0.897,,,,,0.0012929
14,1,10.8,7.1,0.891,,,,,0.0016377
15,1,16.6,8.1,0.867,,,,,0.0020687
16,1,10.7,7.1,0.855,,,,,0.0012929
17,1,7.3,8.4,0.842,,,,,0.0016377
18,1,6.2,7.4,0.84,,,,,0.0017239
19,1,6.7,7.5,0.836,,,,,0.0013791
20,1,11.3,7.2,0.826,,,,,0.0018101
21,1,6.2,7.5,0.809,,,,,0.0014653
22,1,8.5,9.0,0.802,,,,,0.0017239
23,1,6.6,7.8,0.779,,,,,0.0018101
24,1,5.3,7.9,0.773,,,,,0.0015515
25,1,5.5,7.6,0.768,,,,,0.0016377
26,1,4.9,6.2,0.737,,,,,0.0017239
27,1,2.2,8.5,0.693,,,,,0.0014653
28,1,5.6,7.5,0.686,,,,,0.0019825
29,2,11.2,7.0,0.863,,,,,0.0014653
30,2,7.0,6.7,0.861,,,,,0.0015515
31,2,6.1,7.8,0.86,,,,,0.0014653
32,2,8.4,6.9,0.854,,,,,0.0022411
33,2,7.6,,0.834,,,,,
34,2,8.4,,0.829,,,,,
35,2,8.5,,0.82,,,,,
36,2,4.9,,0.816,,,,,
37,2,10.2,,0.805,,,,,
38,2,3.7,,0.8,,,,,
39,2,3.2,,0.773,,,,,
40,2,9.6,,0.768,,,,,
41,2,6.0,,0.699,,,,,
42,2,4.1,,0.686,,,,,
43,2,3.0,,0.676,,,,,
44,2,4.5,,0.605,,,,,
45,3,6.0,,0.898,,,,,
46,3,14.3,,0.888,,,,,
47,3,10.5,,0.874,,,,,
48,3,7.5,,0.859,,,,,
49,3,6.4,,0.837,,,,,
50,3,4.6,,0.836,,,,,
51,3,5.4,,0.829,,,,,
52,3,5.8,,0.82,,,,,
53,3,14.0,,0.814,,,,,
54,3,9.8,,0.801,,,,,
55,3,10.8,,0.801,,,,,
56,3,5.3,,0.8,,,,,
57,3,6.2,,0.737,,,,,
58,3,4.9,,0.709,,,,,
59,3,9.7,,0.696,,,,,
60,4,11.7,,0.882,,,,,
61,4,8.1,,0.869,,,,,
62,4,7.3,,0.845,,,,,
63,4,4.5,,0.83,,,,,
64,4,8.0,,0.826,,,,,
65,4,5.9,,0.825,,,,,
66,4,4.3,,0.82,,,,,
67,4,6.8,,0.815,,,,,
68,4,4.6,,0.813,,,,,
69,4,15.7,,0.812,,,,,
70,4,4.3,,0.81,,,,,
71,4,3.1,,0.778,,,,,
72,4,6.5,,0.778,,,,,
73,4,8.7,,0.777,,,,,
74,4,3.6,,0.774,,,,,
75,4,4.3,,0.745,,,,,
76,4,4.7,,0.738,,,,,
77,4,5.7,,0.728,,,,,
78,4,3.5,,0.724,,,,,
79,5,6.3,,0.865,,,,,
80,5,12.0,,0.863,,,,,
81,5,9.9,,0.858,,,,,
82,5,7.5,,0.85,,,,,
83,5,8.0,,0.841,,,,,
84,5,2.8,,0.824,,,,,
85,5,16.7,,0.823,,,,,
86,5,8.8,,0.819,,,,,
87,5,6.5,,0.807,,,,,
88,5,8.3,,0.806,,,,,
89,5,16.4,,0.791,,,,,
90,5,9.0,,0.753,,,,,
91,5,3.7,,0.733,,,,,
92,5,4.2,,0.709,,,,,
