,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,28.4,28.5,0.666,27.36,9.77,74.0,1.14,2e-05
1,0,28.0,27.3,0.609,,,,,4.39e-05
2,0,28.0,27.4,0.47,,,,,2e-05
3,0,22.5,24.1,0.46,,,,,1.22e-05
4,0,16.9,24.5,0.434,,,,,8e-06
5,0,32.1,22.5,0.433,,,,,2e-06
6,0,28.7,23.8,0.418,,,,,6e-06
7,0,30.8,22.9,0.355,,,,,1.4e-05
8,0,39.8,32.2,0.341,,,,,2.6e-05
9,0,29.4,,0.34,,,,,
10,1,64.5,,0.81,,,,,
11,1,36.3,,0.481,,,,,
12,1,23.8,,0.421,,,,,
13,1,30.8,,0.419,,,,,
14,1,18.3,,0.412,,,,,
15,1,23.8,,0.411,,,,,
16,1,18.3,,0.409,,,,,
17,1,29.4,,0.404,,,,,
18,1,21.1,,0.359,,,,,
19,1,33.5,,0.345,,,,,
20,1,25.2,,0.322,,,,,
21,1,26.6,,0.319,,,,,
22,1,19.7,,0.312,,,,,
23,1,22.5,,0.308,,,,,
24,1,23.8,,0.302,,,,,
25,1,25.2,,0.302,,,,,
26,1,18.3,,0.295,,,,,
27,1,28.0,,0.29,,,,,
28,1,25.2,,0.284,,,,,
29,1,22.5,,0.28,,,,,
30,1,37.7,,0.279,,,,,
31,1,25.2,,0.269,,,,,
32,2,30.2,,0.416,,,,,
33,2,21.1,,0.376,,,,,
34,2,52.5,,0.361,,,,,
35,2,28.0,,0.358,,,,,
36,2,31.6,,0.316,,,,,
37,2,26.7,,0.312,,,,,
38,2,22.5,,0.309,,,,,
39,2,19.7,,0.292,,,,,
40,2,19.7,,0.28,,,,,
41,2,21.8,,0.266,,,,,
42,3,12.3,,0.498,,,,,
43,3,23.8,,0.443,,,,,
44,3,27.7,,0.391,,,,,
45,3,32.7,,0.333,,,,,
46,4,23.4,,0.608,,,,,
47,4,25.2,,0.437,,,,,
48,4,21.1,,0.376,,,,,
49,4,28.3,,0.337,,,,,
50,5,22.5,,0.603,,,,,
51,6,22.1,,0.771,,,,,
52,6,20.4,,0.515,,,,,
53,6,28.8,,0.336,,,,,
54,7,22.5,,0.525,,,,,
55,7,23.8,,0.419,,,,,
56,7,18.9,,0.413,,,,,
57,7,23.8,,0.357,,,,,
58,7,19.7,,0.296,,,,,
59,7,30.8,,0.291,,,,,
60,7,21.1,,0.286,,,,,
61,8,25.9,,0.635,,,,,
62,8,47.8,,0.572,,,,,
63,8,26.9,,0.56,,,,,
64,8,24.2,,0.474,,,,,
65,8,18.3,,0.419,,,,,
66,8,15.5,,0.396,,,,,
67,8,32.1,,0.367,,,,,
68,8,37.7,,0.366,,,,,
69,8,18.7,,0.338,,,,,
70,8,73.6,,0.32,,,,,
71,8,30.8,,0.306,,,,,
72,8,38.5,,0.296,,,,,
73,8,28.0,,0.293,,,,,
