,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,28.3,19.0,0.85,20.63,11.91,1104.0,0.36,0.0008736
1,0,23.1,21.1,0.82,,,,,0.0008393
2,0,20.8,19.0,0.814,,,,,0.0011477
3,0,24.1,20.1,0.813,,,,,0.0010449
4,0,20.4,21.9,0.801,,,,,0.0009335
5,0,20.7,20.7,0.791,,,,,0.0009421
6,0,13.5,20.0,0.786,,,,,0.0009164
7,0,20.2,23.0,0.785,,,,,0.0008308
8,0,14.6,21.2,0.782,,,,,0.0009678
9,0,15.6,20.9,0.777,,,,,0.0009592
10,0,19.6,,0.774,,,,,
11,0,19.9,,0.774,,,,,
12,0,23.1,,0.766,,,,,
13,0,15.2,,0.762,,,,,
14,0,18.8,,0.758,,,,,
15,0,20.7,,0.757,,,,,
16,0,24.3,,0.73,,,,,
17,0,18.9,,0.73,,,,,
18,0,24.3,,0.728,,,,,
19,0,10.3,,0.728,,,,,
20,0,33.3,,0.727,,,,,
21,0,31.5,,0.725,,,,,
22,0,31.9,,0.722,,,,,
23,0,17.9,,0.72,,,,,
24,0,15.1,,0.714,,,,,
25,0,35.9,,0.71,,,,,
26,0,22.7,,0.708,,,,,
27,0,17.3,,0.701,,,,,
28,0,21.3,,0.7,,,,,
29,0,17.0,,0.692,,,,,
30,0,38.0,,0.692,,,,,
31,0,24.4,,0.689,,,,,
32,0,15.0,,0.685,,,,,
33,0,24.6,,0.679,,,,,
34,0,13.8,,0.675,,,,,
35,0,15.3,,0.671,,,,,
36,0,12.9,,0.67,,,,,
37,0,22.5,,0.664,,,,,
38,0,16.1,,0.659,,,,,
39,0,10.7,,0.659,,,,,
40,0,27.1,,0.646,,,,,
41,0,15.2,,0.623,,,,,
42,0,20.4,,0.622,,,,,
43,0,54.9,,0.622,,,,,
44,0,10.3,,0.615,,,,,
45,0,17.3,,0.613,,,,,
46,0,14.7,,0.611,,,,,
47,0,16.6,,0.604,,,,,
48,0,24.8,,0.602,,,,,
49,0,51.5,,0.602,,,,,
50,0,18.6,,0.597,,,,,
51,0,21.4,,0.597,,,,,
52,0,16.8,,0.584,,,,,
53,0,17.4,,0.584,,,,,
54,0,15.5,,0.578,,,,,
55,0,29.4,,0.576,,,,,
56,0,13.8,,0.575,,,,,
57,0,15.3,,0.575,,,,,
58,0,15.6,,0.573,,,,,
59,0,12.2,,0.563,,,,,
60,0,15.2,,0.561,,,,,
61,0,19.9,,0.561,,,,,
62,0,11.9,,0.557,,,,,
63,0,9.8,,0.528,,,,,
64,0,11.5,,0.525,,,,,
65,0,23.1,,0.52,,,,,
66,0,17.0,,0.517,,,,,
67,0,18.1,,0.513,,,,,
68,0,9.5,,0.5,,,,,
69,0,13.6,,0.497,,,,,
70,0,21.1,,0.489,,,,,
71,0,38.8,,0.486,,,,,
72,0,29.6,,0.479,,,,,
73,0,24.9,,0.479,,,,,
74,0,10.9,,0.478,,,,,
75,0,11.5,,0.475,,,,,
76,0,9.3,,0.473,,,,,
77,0,9.9,,0.472,,,,,
78,0,15.5,,0.46,,,,,
79,0,17.2,,0.458,,,,,
80,0,18.6,,0.456,,,,,
81,0,16.1,,0.446,,,,,
82,0,11.7,,0.435,,,,,
83,0,15.1,,0.433,,,,,
84,0,12.5,,0.432,,,,,
85,0,17.4,,0.428,,,,,
86,0,11.7,,0.42,,,,,
87,0,30.5,,0.416,,,,,
88,0,15.4,,0.414,,,,,
89,0,9.6,,0.407,,,,,
90,0,13.7,,0.401,,,,,
91,0,21.5,,0.393,,,,,
92,0,16.1,,0.391,,,,,
93,0,15.2,,0.39,,,,,
94,0,11.3,,0.387,,,,,
95,0,18.1,,0.387,,,,,
96,0,16.6,,0.385,,,,,
97,0,11.4,,0.379,,,,,
98,0,16.6,,0.363,,,,,
99,0,18.4,,0.362,,,,,
100,0,14.4,,0.352,,,,,
101,0,6.5,,0.348,,,,,
102,1,44.5,,0.863,,,,,
103,1,25.2,,0.828,,,,,
104,1,24.8,,0.825,,,,,
105,1,31.6,,0.824,,,,,
106,1,22.6,,0.824,,,,,
107,1,23.1,,0.816,,,,,
108,1,14.9,,0.805,,,,,
109,1,20.8,,0.805,,,,,
110,1,26.5,,0.798,,,,,
111,1,60.2,,0.782,,,,,
112,1,26.5,,0.779,,,,,
113,1,16.1,,0.773,,,,,
114,1,45.5,,0.773,,,,,
115,1,22.1,,0.772,,,,,
116,1,14.5,,0.771,,,,,
117,1,20.7,,0.768,,,,,
118,1,26.6,,0.762,,,,,
119,1,14.0,,0.756,,,,,
120,1,20.7,,0.748,,,,,
121,1,19.5,,0.746,,,,,
122,1,26.5,,0.73,,,,,
123,1,19.0,,0.728,,,,,
124,1,21.9,,0.72,,,,,
125,1,13.0,,0.713,,,,,
126,1,18.6,,0.705,,,,,
127,1,24.4,,0.687,,,,,
128,1,14.9,,0.684,,,,,
129,1,16.9,,0.684,,,,,
130,1,21.2,,0.678,,,,,
131,1,13.8,,0.675,,,,,
132,1,36.8,,0.663,,,,,
133,1,13.3,,0.659,,,,,
134,1,26.3,,0.658,,,,,
135,1,16.8,,0.657,,,,,
136,1,13.6,,0.656,,,,,
137,1,22.9,,0.651,,,,,
138,1,14.3,,0.642,,,,,
139,1,8.8,,0.641,,,,,
140,1,23.7,,0.639,,,,,
141,1,14.9,,0.627,,,,,
142,1,15.6,,0.626,,,,,
143,1,13.0,,0.625,,,,,
144,1,11.7,,0.621,,,,,
145,1,26.1,,0.619,,,,,
146,1,9.4,,0.616,,,,,
147,1,25.1,,0.607,,,,,
148,1,9.7,,0.605,,,,,
149,1,40.4,,0.602,,,,,
150,1,25.0,,0.598,,,,,
151,1,16.7,,0.59,,,,,
152,1,14.3,,0.585,,,,,
153,1,18.6,,0.565,,,,,
154,1,18.1,,0.536,,,,,
155,1,16.1,,0.535,,,,,
156,1,13.7,,0.531,,,,,
157,1,81.8,,0.531,,,,,
158,1,25.5,,0.52,,,,,
159,1,14.9,,0.517,,,,,
160,1,55.9,,0.514,,,,,
161,1,14.9,,0.513,,,,,
162,1,11.5,,0.507,,,,,
163,1,44.8,,0.491,,,,,
164,1,14.1,,0.489,,,,,
165,1,14.7,,0.48,,,,,
166,1,9.7,,0.48,,,,,
167,1,14.6,,0.475,,,,,
168,1,13.8,,0.471,,,,,
169,1,13.8,,0.47,,,,,
170,1,27.3,,0.444,,,,,
171,1,10.2,,0.438,,,,,
172,1,71.8,,0.422,,,,,
173,1,15.3,,0.413,,,,,
174,1,11.9,,0.407,,,,,
175,1,18.0,,0.397,,,,,
176,1,23.1,,0.395,,,,,
177,1,16.9,,0.391,,,,,
178,1,12.9,,0.387,,,,,
179,1,13.0,,0.385,,,,,
180,1,24.6,,0.383,,,,,
181,1,45.6,,0.382,,,,,
182,1,16.5,,0.379,,,,,
183,1,12.4,,0.362,,,,,
184,1,40.4,,0.356,,,,,
185,1,11.2,,0.355,,,,,
186,1,18.5,,0.344,,,,,
187,1,13.1,,0.343,,,,,
188,1,12.9,,0.339,,,,,
189,1,19.4,,0.331,,,,,
190,1,9.4,,0.33,,,,,
191,1,8.6,,0.329,,,,,
192,1,11.2,,0.328,,,,,
193,1,14.0,,0.328,,,,,
194,1,17.7,,0.324,,,,,
195,1,12.1,,0.32,,,,,
196,1,17.6,,0.316,,,,,
197,1,10.5,,0.306,,,,,
198,1,14.3,,0.302,,,,,
199,1,14.7,,0.3,,,,,
200,2,25.2,,0.844,,,,,
201,2,29.3,,0.839,,,,,
202,2,21.5,,0.837,,,,,
203,2,28.4,,0.836,,,,,
204,2,25.8,,0.824,,,,,
205,2,27.5,,0.823,,,,,
206,2,22.8,,0.822,,,,,
207,2,25.3,,0.82,,,,,
