,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,8.8,6.9,0.884,6.35,2.23,617.0,0.09,0.0019825
1,0,10.3,6.0,0.884,,,,,0.0021549
2,0,9.2,6.1,0.864,,,,,0.0015515
3,0,5.1,6.4,0.849,,,,,0.0022411
4,0,14.8,6.2,0.848,,,,,0.0017239
5,0,8.9,6.4,0.844,,,,,0.0018101
6,0,10.7,6.4,0.844,,,,,0.0013791
7,0,10.4,6.6,0.84,,,,,0.0018963
8,0,4.6,7.7,0.837,,,,,0.0019825
9,0,9.7,6.9,0.832,,,,,0.0013791
10,0,5.3,7.2,0.82,,,,,0.0006034
11,0,9.1,6.1,0.809,,,,,0.0017239
12,0,5.9,7.1,0.807,,,,,0.0014653
13,0,3.7,6.3,0.802,,,,,0.0019825
14,0,2.6,6.3,0.798,,,,,0.0019825
15,0,6.0,6.6,0.794,,,,,0.0012067
16,0,5.1,6.3,0.788,,,,,0.0013791
17,0,6.9,6.7,0.773,,,,,0.0015515
18,0,3.4,6.6,0.77,,,,,0.0013791
19,0,3.1,5.4,0.746,,,,,0.0018101
20,0,4.9,5.6,0.734,,,,,0.0014653
21,0,3.3,6.5,0.724,,,,,0.0020687
22,0,5.8,6.0,0.708,,,,,0.0020687
23,1,6.4,5.2,0.872,,,,,0.0024135
24,1,7.4,5.3,0.869,,,,,0.0020687
25,1,6.4,6.4,0.845,,,,,0.0013791
26,1,6.6,7.2,0.841,,,,,0.0015515
27,1,8.4,7.3,0.834,,,,,0.0016377
28,1,7.1,6.3,0.831,,,,,0.0024135
29,1,6.8,6.6,0.831,,,,,0.0012067
30,1,5.7,6.0,0.83,,,,,0.0017239
31,1,7.7,,0.828,,,,,
32,1,6.4,,0.826,,,,,
33,1,5.6,,0.819,,,,,
34,1,6.4,,0.819,,,,,
35,1,8.3,,0.817,,,,,
36,1,7.7,,0.803,,,,,
37,1,5.9,,0.788,,,,,
38,1,5.9,,0.788,,,,,
39,1,3.9,,0.785,,,,,
40,1,4.4,,0.781,,,,,
41,1,3.2,,0.759,,,,,
42,1,3.3,,0.757,,,,,
43,1,5.4,,0.749,,,,,
44,1,3.3,,0.732,,,,,
45,1,5.2,,0.694,,,,,
46,1,3.8,,0.622,,,,,
47,1,8.4,,0.619,,,,,
48,2,7.4,,0.845,,,,,
49,2,6.8,,0.841,,,,,
50,2,7.8,,0.834,,,,,
51,2,8.4,,0.833,,,,,
52,2,6.5,,0.833,,,,,
53,2,6.1,,0.83,,,,,
54,2,6.3,,0.797,,,,,
55,2,6.5,,0.793,,,,,
56,2,6.1,,0.772,,,,,
57,2,6.2,,0.771,,,,,
58,2,5.0,,0.765,,,,,
59,2,6.3,,0.754,,,,,
