,Image ID,Length [nm],Mean per image,Confidence score,Average [nm],Standard Deviation [nm],Number Counted,Standard Error of Mean [nm],Number Density [nm^-2]
0,0,16.2,23.8,0.605,21.31,17.12,156.0,1.37,0.0001884
1,0,13.5,23.0,0.566,,,,,0.0001542
2,0,20.9,15.1,0.56,,,,,0.0001884
3,0,16.9,22.2,0.559,,,,,0.0001713
4,0,27.5,17.6,0.519,,,,,0.0001113
5,0,15.5,20.1,0.487,,,,,0.0002055
6,0,14.8,18.2,0.485,,,,,0.0001884
7,0,16.9,17.9,0.459,,,,,6e-05
8,0,24.9,29.1,0.442,,,,,2.57e-05
9,0,11.8,57.5,0.44,,,,,4.28e-05
10,0,14.2,,0.426,,,,,
11,0,88.4,,0.42,,,,,
12,0,13.5,,0.385,,,,,
13,0,12.2,,0.368,,,,,
14,0,87.7,,0.367,,,,,
15,0,25.0,,0.348,,,,,
16,0,9.5,,0.327,,,,,
17,0,23.5,,0.319,,,,,
18,0,9.5,,0.319,,,,,
19,0,11.5,,0.318,,,,,
20,0,15.5,,0.308,,,,,
21,0,34.9,,0.3,,,,,
22,1,18.2,,0.656,,,,,
23,1,14.8,,0.5,,,,,
24,1,13.5,,0.46,,,,,
25,1,11.5,,0.415,,,,,
26,1,20.2,,0.401,,,,,
27,1,75.7,,0.391,,,,,
28,1,15.5,,0.378,,,,,
29,1,13.5,,0.377,,,,,
30,1,18.2,,0.318,,,,,
31,1,10.8,,0.306,,,,,
32,1,13.5,,0.297,,,,,
33,1,85.0,,0.286,,,,,
34,1,10.8,,0.281,,,,,
35,1,26.4,,0.281,,,,,
36,1,12.8,,0.264,,,,,
37,1,14.2,,0.262,,,,,
38,1,12.2,,0.259,,,,,
39,1,26.9,,0.252,,,,,
40,2,11.5,,0.515,,,,,
41,2,12.8,,0.513,,,,,
42,2,15.5,,0.486,,,,,
43,2,12.8,,0.482,,,,,
44,2,16.9,,0.477,,,,,
45,2,16.2,,0.465,,,,,
46,2,16.2,,0.464,,,,,
47,2,10.8,,0.463,,,,,
48,2,16.9,,0.459,,,,,
49,2,13.5,,0.455,,,,,
50,2,16.9,,0.415,,,,,
51,2,11.5,,0.401,,,,,
52,2,15.5,,0.385,,,,,
53,2,12.2,,0.371,,,,,
54,2,17.5,,0.354,,,,,
55,2,13.5,,0.354,,,,,
56,2,8.2,,0.351,,,,,
57,2,14.2,,0.329,,,,,
58,2,16.9,,0.321,,,,,
59,2,16.9,,0.32,,,,,
60,2,28.2,,0.301,,,,,
61,2,18.2,,0.298,,,,,
62,3,24.2,,0.466,,,,,
63,3,10.2,,0.454,,,,,
64,3,9.5,,0.429,,,,,
65,3,14.8,,0.387,,,,,
66,3,18.2,,0.378,,,,,
67,3,69.8,,0.372,,,,,
68,3,13.5,,0.358,,,,,
69,3,19.5,,0.343,,,,,
70,3,27.5,,0.338,,,,,
71,3,14.8,,0.331,,,,,
72,3,20.2,,0.324,,,,,
73,3,14.8,,0.321,,,,,
74,3,17.5,,0.31,,,,,
75,3,20.9,,0.298,,,,,
76,3,67.0,,0.297,,,,,
77,3,22.5,,0.294,,,,,
78,3,20.2,,0.288,,,,,
79,3,10.2,,0.284,,,,,
80,3,12.2,,0.277,,,,,
81,3,15.5,,0.274,,,,,
82,4,29.5,,0.586,,,,,
83,4,24.9,,0.528,,,,,
84,4,12.2,,0.444,,,,,
85,4,11.5,,0.37,,,,,
86,4,14.2,,0.32,,,,,
87,4,12.8,,0.317,,,,,
88,4,15.5,,0.31,,,,,
89,4,10.8,,0.294,,,,,
90,4,12.8,,0.293,,,,,
91,4,21.5,,0.286,,,,,
92,4,14.8,,0.283,,,,,
93,4,33.5,,0.271,,,,,
94,4,14.8,,0.25,,,,,
95,5,19.5,,0.525,,,,,
96,5,36.4,,0.447,,,,,
97,5,18.2,,0.44,,,,,
98,5,27.5,,0.438,,,,,
99,5,12.2,,0.431,,,,,
100,5,16.2,,0.429,,,,,
101,5,11.5,,0.427,,,,,
102,5,23.5,,0.413,,,,,
103,5,17.5,,0.406,,,,,
104,5,11.5,,0.381,,,,,
105,5,21.5,,0.372,,,,,
106,5,73.6,,0.354,,,,,
107,5,14.2,,0.343,,,,,
108,5,12.2,,0.332,,,,,
109,5,16.9,,0.326,,,,,
110,5,11.5,,0.325,,,,,
111,5,16.2,,0.318,,,,,
112,5,12.2,,0.306,,,,,
113,5,31.5,,0.298,,,,,
114,5,11.5,,0.294,,,,,
115,5,17.5,,0.282,,,,,
116,5,16.2,,0.278,,,,,
117,5,19.5,,0.263,,,,,
118,5,12.8,,0.261,,,,,
119,6,28.2,,0.617,,,,,
120,6,15.5,,0.513,,,,,
121,6,13.5,,0.5,,,,,
122,6,13.5,,0.485,,,,,
123,6,12.8,,0.44,,,,,
124,6,64.9,,0.407,,,,,
125,6,10.8,,0.398,,,,,
126,6,14.8,,0.388,,,,,
127,6,17.5,,0.383,,,,,
128,6,22.9,,0.347,,,,,
129,6,15.5,,0.343,,,,,
130,6,11.5,,0.343,,,,,
131,6,13.5,,0.333,,,,,
132,6,10.2,,0.327,,,,,
133,6,39.5,,0.304,,,,,
134,6,16.2,,0.3,,,,,
135,6,12.8,,0.3,,,,,
136,6,14.2,,0.292,,,,,
137,6,13.5,,0.289,,,,,
138,6,12.2,,0.284,,,,,
139,6,12.8,,0.274,,,,,
140,6,13.5,,0.271,,,,,
141,7,14.2,,0.356,,,,,
142,7,16.9,,0.333,,,,,
143,7,25.5,,0.312,,,,,
144,7,16.4,,0.309,,,,,
145,7,14.8,,0.294,,,,,
146,7,21.5,,0.259,,,,,
147,7,16.2,,0.259,,,,,
148,8,12.8,,0.369,,,,,
149,8,15.5,,0.327,,,,,
150,8,58.9,,0.265,,,,,
151,9,45.5,,0.616,,,,,
152,9,48.3,,0.501,,,,,
153,9,13.5,,0.438,,,,,
154,9,108.4,,0.421,,,,,
155,9,71.7,,0.328,,,,,
