,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,11.1,7.4,0.882,7.76,3.12,661.0,0.12,0.0018963
1,0,10.5,7.1,0.874,,,,,0.0024997
2,0,10.1,7.7,0.865,,,,,0.0016377
3,0,11.0,8.9,0.861,,,,,0.0026721
4,0,10.5,7.9,0.848,,,,,0.0015515
5,0,5.4,6.9,0.844,,,,,0.0022411
6,0,5.2,7.2,0.838,,,,,0.0023273
7,0,7.7,7.2,0.838,,,,,0.0023273
8,0,8.1,7.2,0.834,,,,,0.0018101
9,0,6.4,6.9,0.831,,,,,0.0021549
10,0,5.2,7.2,0.825,,,,,0.0023273
11,0,4.1,8.2,0.821,,,,,0.0014653
12,0,9.7,7.7,0.811,,,,,0.0017239
13,0,5.4,9.2,0.808,,,,,0.0018101
14,0,5.9,8.6,0.799,,,,,0.0018963
15,0,7.8,9.9,0.789,,,,,0.0009481
16,0,6.2,6.8,0.778,,,,,0.0016377
17,0,5.6,7.2,0.766,,,,,0.0018963
18,0,3.4,7.4,0.765,,,,,0.0020687
19,0,4.0,7.1,0.759,,,,,0.0014653
20,0,8.0,7.1,0.743,,,,,0.0018101
21,0,10.8,7.7,0.742,,,,,0.0020687
22,1,17.8,6.0,0.884,,,,,0.0024135
23,1,7.4,7.7,0.868,,,,,0.0023273
24,1,6.8,8.1,0.859,,,,,0.0021549
25,1,4.7,9.8,0.858,,,,,0.0017239
26,1,10.0,9.3,0.858,,,,,0.0015515
27,1,5.9,9.3,0.856,,,,,0.0013791
28,1,6.6,8.1,0.853,,,,,0.0018101
29,1,9.1,9.5,0.851,,,,,0.0013791
30,1,7.6,,0.85,,,,,
31,1,13.2,,0.85,,,,,
32,1,8.3,,0.849,,,,,
33,1,13.4,,0.846,,,,,
34,1,7.8,,0.841,,,,,
35,1,9.8,,0.832,,,,,
36,1,9.1,,0.826,,,,,
37,1,4.6,,0.821,,,,,
38,1,5.8,,0.818,,,,,
39,1,3.6,,0.803,,,,,
40,1,4.9,,0.801,,,,,
41,1,8.1,,0.789,,,,,
42,1,3.1,,0.776,,,,,
43,1,4.5,,0.772,,,,,
44,1,3.1,,0.725,,,,,
45,1,6.1,,0.701,,,,,
46,1,4.7,,0.695,,,,,
47,1,6.0,,0.685,,,,,
48,1,5.8,,0.677,,,,,
49,1,3.4,,0.661,,,,,
50,1,4.0,,0.618,,,,,
51,2,11.4,,0.877,,,,,
52,2,11.9,,0.87,,,,,
53,2,7.8,,0.863,,,,,
54,2,12.8,,0.834,,,,,
55,2,6.1,,0.834,,,,,
56,2,10.0,,0.824,,,,,
57,2,6.8,,0.824,,,,,
58,2,5.7,,0.823,,,,,
59,2,9.7,,0.814,,,,,
60,2,4.9,,0.81,,,,,
61,2,13.5,,0.807,,,,,
62,2,4.2,,0.806,,,,,
63,2,6.2,,0.803,,,,,
64,2,6.6,,0.798,,,,,
65,2,6.4,,0.79,,,,,
66,2,5.0,,0.761,,,,,
67,2,8.6,,0.736,,,,,
68,2,5.7,,0.689,,,,,
69,2,2.8,,0.688,,,,,
70,3,15.8,,0.882,,,,,
71,3,11.4,,0.864,,,,,
72,3,12.2,,0.863,,,,,
73,3,11.0,,0.86,,,,,
74,3,10.4,,0.856,,,,,
75,3,13.1,,0.855,,,,,
76,3,12.5,,0.854,,,,,
77,3,9.2,,0.853,,,,,
78,3,8.5,,0.844,,,,,
79,3,9.9,,0.839,,,,,
80,3,6.1,,0.833,,,,,
81,3,12.2,,0.833,,,,,
82,3,10.4,,0.831,,,,,
83,3,3.9,,0.829,,,,,
84,3,5.3,,0.823,,,,,
85,3,12.8,,0.821,,,,,
86,3,10.2,,0.814,,,,,
87,3,7.8,,0.812,,,,,
88,3,7.2,,0.812,,,,,
89,3,7.9,,0.797,,,,,
90,3,3.7,,0.766,,,,,
91,3,10.4,,0.762,,,,,
92,3,9.9,,0.754,,,,,
93,3,4.5,,0.739,,,,,
94,3,7.8,,0.736,,,,,
95,3,3.8,,0.729,,,,,
96,3,9.6,,0.72,,,,,
97,3,3.0,,0.682,,,,,
98,3,3.5,,0.63,,,,,
99,3,16.5,,0.621,,,,,
100,3,4.9,,0.615,,,,,
101,4,13.8,,0.884,,,,,
102,4,4.5,,0.85,,,,,
103,4,11.4,,0.838,,,,,
104,4,5.6,,0.836,,,,,
105,4,3.7,,0.835,,,,,
106,4,12.5,,0.828,,,,,
107,4,6.8,,0.821,,,,,
108,4,9.8,,0.821,,,,,
109,4,9.6,,0.817,,,,,
110,4,7.8,,0.817,,,,,
111,4,6.8,,0.812,,,,,
