,Image ID,Cross section [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,8.5,7.6,0.87,8.25,3.43,855.0,0.12,0.0016111
1,0,10.3,9.8,0.867,,,,,0.0015104
2,0,8.1,7.2,0.863,,,,,0.0013594
3,0,10.8,8.5,0.862,,,,,0.0017622
4,0,12.2,10.1,0.855,,,,,0.0019636
5,0,6.1,9.2,0.85,,,,,0.0018125
6,0,13.6,8.5,0.85,,,,,0.0015104
7,0,9.4,8.8,0.846,,,,,0.0011077
8,0,6.1,7.3,0.842,,,,,0.0016111
9,0,4.9,7.4,0.838,,,,,0.0018629
10,0,8.8,8.3,0.837,,,,,0.0021146
11,0,8.7,7.7,0.834,,,,,0.0013091
12,0,15.1,8.0,0.83,,,,,0.0019636
13,0,8.7,7.5,0.829,,,,,0.0020139
14,0,7.9,7.6,0.829,,,,,0.0020643
15,0,13.2,8.1,0.817,,,,,0.0016615
16,0,7.7,8.5,0.813,,,,,0.0017622
17,0,5.2,9.7,0.808,,,,,0.0013594
18,0,8.7,8.0,0.795,,,,,0.0014601
19,0,3.5,8.3,0.791,,,,,0.0010573
20,0,5.1,8.8,0.789,,,,,0.0017622
21,0,6.6,7.2,0.789,,,,,0.0018125
22,0,4.7,7.6,0.784,,,,,0.0020139
23,0,5.6,8.6,0.771,,,,,0.0014098
24,0,5.4,7.7,0.755,,,,,0.0017622
25,0,5.5,9.1,0.754,,,,,0.0014098
26,0,8.2,,0.733,,,,,
27,0,3.2,,0.728,,,,,
28,0,7.5,,0.724,,,,,
29,0,2.5,,0.705,,,,,
30,0,4.5,,0.68,,,,,
31,0,6.4,,0.671,,,,,
32,1,18.9,,0.877,,,,,
33,1,10.6,,0.867,,,,,
34,1,12.7,,0.848,,,,,
35,1,7.6,,0.835,,,,,
36,1,18.5,,0.833,,,,,
37,1,9.3,,0.826,,,,,
38,1,13.1,,0.821,,,,,
39,1,9.9,,0.811,,,,,
40,1,10.4,,0.788,,,,,
41,1,7.7,,0.775,,,,,
42,1,7.8,,0.771,,,,,
43,1,5.1,,0.77,,,,,
44,1,7.1,,0.769,,,,,
45,1,10.1,,0.759,,,,,
46,1,11.7,,0.755,,,,,
47,1,10.4,,0.754,,,,,
48,1,8.9,,0.746,,,,,
49,1,10.2,,0.73,,,,,
50,1,10.9,,0.705,,,,,
51,1,4.9,,0.701,,,,,
52,1,7.5,,0.699,,,,,
53,1,9.1,,0.69,,,,,
54,1,8.1,,0.678,,,,,
55,1,5.7,,0.677,,,,,
56,1,2.4,,0.658,,,,,
57,1,5.3,,0.637,,,,,
58,1,23.6,,0.635,,,,,
59,1,5.3,,0.623,,,,,
60,1,15.2,,0.618,,,,,
61,1,5.3,,0.602,,,,,
62,2,12.4,,0.874,,,,,
63,2,14.6,,0.868,,,,,
64,2,12.4,,0.853,,,,,
65,2,7.5,,0.85,,,,,
66,2,10.0,,0.843,,,,,
67,2,8.3,,0.84,,,,,
68,2,6.5,,0.838,,,,,
69,2,7.0,,0.837,,,,,
70,2,7.1,,0.836,,,,,
71,2,6.8,,0.833,,,,,
72,2,11.1,,0.832,,,,,
73,2,7.9,,0.83,,,,,
