,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
166,0,302.2,,0.599,,,,,
167,0,149.0,,0.599,,,,,
168,0,251.6,,0.599,,,,,
169,0,181.0,,0.598,,,,,
170,0,246.6,,0.598,,,,,
171,0,215.1,,0.598,,,,,
172,0,204.9,,0.598,,,,,
173,0,215.3,,0.598,,,,,
174,0,401.2,,0.598,,,,,
175,0,282.3,,0.598,,,,,
176,0,271.0,,0.598,,,,,
177,0,233.3,,0.598,,,,,
178,0,203.1,,0.597,,,,,
179,0,244.6,,0.597,,,,,
180,0,236.9,,0.597,,,,,
181,0,179.4,,0.597,,,,,
182,0,218.1,,0.597,,,,,
183,0,182.7,,0.597,,,,,
184,0,152.8,,0.597,,,,,
185,0,211.1,,0.596,,,,,
186,0,193.1,,0.596,,,,,
187,0,195.8,,0.596,,,,,
188,0,169.9,,0.596,,,,,
189,0,268.0,,0.596,,,,,
190,0,285.5,,0.596,,,,,
191,0,219.1,,0.596,,,,,
192,0,198.9,,0.596,,,,,
193,0,257.8,,0.596,,,,,
194,0,261.1,,0.595,,,,,
195,0,287.9,,0.595,,,,,
196,0,220.8,,0.595,,,,,
197,0,291.8,,0.595,,,,,
198,0,306.5,,0.595,,,,,
199,0,217.2,,0.595,,,,,
200,0,327.2,,0.595,,,,,
201,0,190.0,,0.595,,,,,
202,0,227.0,,0.595,,,,,
203,0,108.4,,0.594,,,,,
204,0,200.9,,0.594,,,,,
205,0,179.0,,0.594,,,,,
206,0,266.5,,0.594,,,,,
207,0,219.6,,0.594,,,,,
208,0,159.9,,0.594,,,,,
209,0,355.8,,0.594,,,,,
210,0,330.1,,0.594,,,,,
211,0,178.5,,0.593,,,,,
212,0,240.2,,0.593,,,,,
213,0,222.8,,0.593,,,,,
214,0,104.3,,0.593,,,,,
215,0,251.3,,0.593,,,,,
216,0,209.6,,0.593,,,,,
217,0,304.8,,0.593,,,,,
218,0,408.9,,0.593,,,,,
219,0,157.8,,0.592,,,,,
220,0,194.8,,0.592,,,,,
221,0,122.7,,0.592,,,,,
222,0,197.6,,0.592,,,,,
223,0,202.8,,0.592,,,,,
224,0,110.0,,0.592,,,,,
225,0,156.7,,0.592,,,,,
226,0,258.7,,0.592,,,,,
227,0,207.7,,0.592,,,,,
228,0,175.2,,0.592,,,,,
229,0,306.9,,0.591,,,,,
230,0,212.0,,0.591,,,,,
231,0,164.8,,0.591,,,,,
232,0,201.4,,0.591,,,,,
233,0,160.6,,0.591,,,,,
234,0,223.8,,0.591,,,,,
235,0,289.1,,0.591,,,,,
236,0,128.4,,0.59,,,,,
237,0,258.2,,0.59,,,,,
238,0,219.8,,0.59,,,,,
239,0,250.8,,0.59,,,,,
240,0,281.1,,0.589,,,,,
241,0,139.7,,0.589,,,,,
242,0,263.8,,0.589,,,,,
243,0,209.6,,0.589,,,,,
244,0,188.2,,0.589,,,,,
245,0,297.5,,0.589,,,,,
246,0,160.3,,0.589,,,,,
247,0,172.6,,0.588,,,,,
248,0,206.4,,0.588,,,,,
249,0,160.9,,0.588,,,,,
250,0,129.6,,0.587,,,,,
251,0,216.3,,0.587,,,,,
252,0,243.9,,0.587,,,,,
253,0,155.7,,0.587,,,,,
254,0,172.5,,0.587,,,,,
255,0,206.2,,0.587,,,,,
