,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
0,0,156.6,206.89999389648438,0.667,217.39999389648438,94.47000122070312,9314.0,0.98,0.0016197
1,0,179.7,246.60000610351562,0.659,,,,,0.0016936
2,0,161.4,196.39999389648438,0.658,,,,,0.0013321
3,0,129.6,209.5,0.655,,,,,0.0013561
4,0,158.6,216.60000610351562,0.652,,,,,0.0013361
5,0,133.2,208.3000030517578,0.651,,,,,0.0012463
6,0,137.7,205.39999389648438,0.65,,,,,0.001418
7,0,160.1,195.6999969482422,0.648,,,,,0.0014919
8,0,135.3,207.8000030517578,0.646,,,,,0.0013461
9,0,165.0,223.8000030517578,0.643,,,,,0.001454
10,0,118.8,244.6999969482422,0.642,,,,,0.0023108
11,0,192.9,221.6999969482422,0.642,,,,,0.0019972
12,0,414.4,,0.641,,,,,
13,0,129.4,,0.64,,,,,
14,0,128.9,,0.639,,,,,
15,0,219.3,,0.639,,,,,
16,0,191.0,,0.638,,,,,
17,0,216.7,,0.637,,,,,
18,0,118.8,,0.637,,,,,
19,0,142.0,,0.637,,,,,
20,0,169.2,,0.636,,,,,
21,0,173.9,,0.635,,,,,
22,0,132.1,,0.634,,,,,
23,0,152.7,,0.634,,,,,
24,0,168.8,,0.634,,,,,
25,0,159.7,,0.634,,,,,
26,0,202.2,,0.633,,,,,
27,0,285.0,,0.633,,,,,
28,0,128.8,,0.631,,,,,
29,0,202.8,,0.631,,,,,
30,0,118.2,,0.63,,,,,
31,0,137.6,,0.63,,,,,
32,0,180.7,,0.63,,,,,
33,0,289.4,,0.63,,,,,
34,0,269.9,,0.63,,,,,
35,0,179.3,,0.629,,,,,
36,0,184.6,,0.629,,,,,
37,0,497.9,,0.628,,,,,
38,0,348.8,,0.628,,,,,
39,0,280.7,,0.628,,,,,
40,0,182.9,,0.627,,,,,
41,0,221.3,,0.627,,,,,
42,0,223.1,,0.627,,,,,
43,0,146.0,,0.626,,,,,
44,0,245.5,,0.626,,,,,
45,0,235.5,,0.626,,,,,
46,0,178.5,,0.626,,,,,
47,0,269.0,,0.626,,,,,
48,0,174.6,,0.625,,,,,
49,0,152.3,,0.625,,,,,
50,0,309.2,,0.625,,,,,
51,0,171.8,,0.625,,,,,
52,0,260.5,,0.625,,,,,
53,0,216.9,,0.624,,,,,
54,0,208.0,,0.623,,,,,
55,0,118.9,,0.623,,,,,
56,0,302.2,,0.623,,,,,
57,0,257.8,,0.622,,,,,
58,0,219.6,,0.622,,,,,
59,0,225.3,,0.622,,,,,
60,0,131.3,,0.621,,,,,
61,0,159.4,,0.621,,,,,
62,0,246.0,,0.621,,,,,
63,0,254.3,,0.621,,,,,
64,0,103.9,,0.62,,,,,
65,0,124.8,,0.62,,,,,
66,0,208.9,,0.62,,,,,
67,0,216.9,,0.62,,,,,
68,0,114.8,,0.62,,,,,
69,0,262.6,,0.62,,,,,
70,0,209.2,,0.62,,,,,
71,0,245.8,,0.62,,,,,
72,0,325.5,,0.62,,,,,
73,0,205.2,,0.619,,,,,
74,0,161.5,,0.619,,,,,
75,0,290.6,,0.618,,,,,
76,0,240.3,,0.618,,,,,
77,0,109.8,,0.618,,,,,
78,0,338.7,,0.618,,,,,
79,0,275.3,,0.618,,,,,
80,0,394.8,,0.618,,,,,
81,0,126.1,,0.617,,,,,
82,0,211.4,,0.617,,,,,
83,0,349.0,,0.617,,,,,
84,0,116.4,,0.617,,,,,
85,0,297.2,,0.616,,,,,
86,0,254.2,,0.616,,,,,
87,0,194.6,,0.616,,,,,
88,0,236.3,,0.616,,,,,
89,0,295.1,,0.615,,,,,
90,0,147.0,,0.615,,,,,
